flag_type,check_id,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword_text,metric_name,metric_value,threshold,delta,severity,detail
IS_LOSS_RANK,CA-D02,23473551299,EX | 26 | CH | SEARCH | LEAD | Baumaschinenführer,,,,search_rank_lost_impression_share,64.7,,,High,Rank-lost IS avg: 64.7% over 90 days.
IS_LOSS_HIGH,CA-D02,23473587776,EX | 26 | CH | SEARCH | LEAD | Bauarbeiter,,,,combined_is_loss,77.5,20%,,High,"Combined IS loss: 77.5%. Budget-lost: 15.6%, Rank-lost: 61.9%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,23473587776,EX | 26 | CH | SEARCH | LEAD | Bauarbeiter,,,,search_budget_lost_impression_share,15.6,,,High,Budget-lost IS avg: 15.6% over 90 days.
IS_LOSS_RANK,CA-D02,23473587776,EX | 26 | CH | SEARCH | LEAD | Bauarbeiter,,,,search_rank_lost_impression_share,61.9,,,High,Rank-lost IS avg: 61.9% over 90 days.
IS_LOSS_HIGH,CA-D02,23473608146,EX | 26 | CH | SEARCH | LEAD | Grundbauer,,,,combined_is_loss,87.6,20%,,High,"Combined IS loss: 87.6%. Budget-lost: 22.4%, Rank-lost: 65.2%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,23473608146,EX | 26 | CH | SEARCH | LEAD | Grundbauer,,,,search_budget_lost_impression_share,22.4,,,High,Budget-lost IS avg: 22.4% over 90 days.
IS_LOSS_RANK,CA-D02,23473608146,EX | 26 | CH | SEARCH | LEAD | Grundbauer,,,,search_rank_lost_impression_share,65.2,,,High,Rank-lost IS avg: 65.2% over 90 days.
IS_LOSS_HIGH,CA-D02,23473611323,EX | 25 | CH | SEARCH | LEAD | Heizungsinstallateur,,,,combined_is_loss,83.9,20%,,High,"Combined IS loss: 83.9%. Budget-lost: 24.4%, Rank-lost: 59.5%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,23473611323,EX | 25 | CH | SEARCH | LEAD | Heizungsinstallateur,,,,search_budget_lost_impression_share,24.4,,,High,Budget-lost IS avg: 24.4% over 90 days.
IS_LOSS_RANK,CA-D02,23473611323,EX | 25 | CH | SEARCH | LEAD | Heizungsinstallateur,,,,search_rank_lost_impression_share,59.5,,,High,Rank-lost IS avg: 59.5% over 90 days.
IS_LOSS_HIGH,CA-D02,23473633574,EX | 26 | CH | SEARCH | LEAD | Trockenbauer,,,,combined_is_loss,54.1,20%,,High,"Combined IS loss: 54.1%. Budget-lost: 22.1%, Rank-lost: 32.0%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,23473633574,EX | 26 | CH | SEARCH | LEAD | Trockenbauer,,,,search_budget_lost_impression_share,22.1,,,High,Budget-lost IS avg: 22.1% over 77 days.
IS_LOSS_RANK,CA-D02,23473633574,EX | 26 | CH | SEARCH | LEAD | Trockenbauer,,,,search_rank_lost_impression_share,32.0,,,High,Rank-lost IS avg: 32.0% over 77 days.
IS_LOSS_HIGH,CA-D02,23478160315,EX | 26 | CH | SEARCH | LEAD | Metallbaukonstrukteur,,,,combined_is_loss,89.5,20%,,High,"Combined IS loss: 89.5%. Budget-lost: 27.3%, Rank-lost: 62.1%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,23478160315,EX | 26 | CH | SEARCH | LEAD | Metallbaukonstrukteur,,,,search_budget_lost_impression_share,27.3,,,High,Budget-lost IS avg: 27.3% over 90 days.
IS_LOSS_RANK,CA-D02,23478160315,EX | 26 | CH | SEARCH | LEAD | Metallbaukonstrukteur,,,,search_rank_lost_impression_share,62.1,,,High,Rank-lost IS avg: 62.1% over 90 days.
IS_LOSS_HIGH,CA-D02,23478231493,EX | 25 | CH | SEARCH | LEAD | Gerüstbauer,,,,combined_is_loss,50.9,20%,,High,"Combined IS loss: 50.9%. Budget-lost: 23.3%, Rank-lost: 27.6%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,23478231493,EX | 25 | CH | SEARCH | LEAD | Gerüstbauer,,,,search_budget_lost_impression_share,23.3,,,High,Budget-lost IS avg: 23.3% over 90 days.
IS_LOSS_RANK,CA-D02,23478231493,EX | 25 | CH | SEARCH | LEAD | Gerüstbauer,,,,search_rank_lost_impression_share,27.6,,,High,Rank-lost IS avg: 27.6% over 90 days.
IS_LOSS_HIGH,CA-D02,23478250789,EX | 26 | CH | SEARCH | LEAD | Maurer,,,,combined_is_loss,85.6,20%,,High,"Combined IS loss: 85.6%. Budget-lost: 29.3%, Rank-lost: 56.3%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,23478250789,EX | 26 | CH | SEARCH | LEAD | Maurer,,,,search_budget_lost_impression_share,29.3,,,High,Budget-lost IS avg: 29.3% over 90 days.
IS_LOSS_RANK,CA-D02,23478250789,EX | 26 | CH | SEARCH | LEAD | Maurer,,,,search_rank_lost_impression_share,56.3,,,High,Rank-lost IS avg: 56.3% over 90 days.
IS_LOSS_HIGH,CA-D02,23478262294,EX | 26 | CH | SEARCH | LEAD | Strassenbauer,,,,combined_is_loss,86.2,20%,,High,"Combined IS loss: 86.2%. Budget-lost: 20.4%, Rank-lost: 65.8%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,23478262294,EX | 26 | CH | SEARCH | LEAD | Strassenbauer,,,,search_budget_lost_impression_share,20.4,,,High,Budget-lost IS avg: 20.4% over 90 days.
IS_LOSS_RANK,CA-D02,23478262294,EX | 26 | CH | SEARCH | LEAD | Strassenbauer,,,,search_rank_lost_impression_share,65.8,,,High,Rank-lost IS avg: 65.8% over 90 days.
IS_LOSS_HIGH,CA-D02,23612966133,EX | 26 | CH | SEARCH | LEAD | DYN Catchall,,,,combined_is_loss,90.4,20%,,High,"Combined IS loss: 90.4%. Budget-lost: 19.9%, Rank-lost: 70.6%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,23612966133,EX | 26 | CH | SEARCH | LEAD | DYN Catchall,,,,search_budget_lost_impression_share,19.9,,,High,Budget-lost IS avg: 19.9% over 90 days.
IS_LOSS_RANK,CA-D02,23612966133,EX | 26 | CH | SEARCH | LEAD | DYN Catchall,,,,search_rank_lost_impression_share,70.6,,,High,Rank-lost IS avg: 70.6% over 90 days.
IS_LOSS_HIGH,CA-D02,23619183073,EX | 26 | CH | SEARCH | LEAD | Compeditor,,,,combined_is_loss,91.9,20%,,High,"Combined IS loss: 91.9%. Budget-lost: 22.8%, Rank-lost: 69.1%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,23619183073,EX | 26 | CH | SEARCH | LEAD | Compeditor,,,,search_budget_lost_impression_share,22.8,,,High,Budget-lost IS avg: 22.8% over 90 days.
IS_LOSS_RANK,CA-D02,23619183073,EX | 26 | CH | SEARCH | LEAD | Compeditor,,,,search_rank_lost_impression_share,69.1,,,High,Rank-lost IS avg: 69.1% over 90 days.
TOP_IS_DECLINING,CA-D05,20768068758,EX | 25 | CH | SEARCH | LEAD | Automatikmonteur,,,,search_top_impression_share_30d_delta,-7.1,-5pp/30d,-7.1,Medium,"Top IS declining 7.1pp. Recent: 10.4%, prior: 17.5%."
TOP_IS_DECLINING,CA-D05,23478231493,EX | 25 | CH | SEARCH | LEAD | Gerüstbauer,,,,search_absolute_top_impression_share_30d_delta,-9.8,-5pp/30d,-9.8,Medium,"Abs top IS declining 9.8pp. Recent: 23.4%, prior: 33.3%."
KEYWORD_IS_PRESSURE,CA-D08,23369525700,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,190690911095,AG | RSA | Elektroinstallateur,efz jobs schweiz,keyword_is_with_rank_lost,19.2,IS<30% AND rank-lost>40%,,High,"Keyword IS: 19.2%, Rank-lost: 48.3%. Under heavy competitive pressure. Spend: $1080.68."
KEYWORD_POSITION_LOSS,CA-D08,23369525700,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,190690911095,AG | RSA | Elektroinstallateur,efz jobs schweiz,keyword_top_impression_share,15.1,top-IS<20%,,Medium,"Top IS: 15.1%, Abs top IS: 10.0%. Losing page position. Spend: $1080.68."
KEYWORD_IS_PRESSURE,CA-D08,23619183073,EX | 26 | CH | SEARCH | LEAD | Compeditor,193899557756,AG | RSA | Compeditor,Job24,keyword_is_with_rank_lost,10.0,IS<30% AND rank-lost>40%,,High,"Keyword IS: 10.0%, Rank-lost: 65.2%. Under heavy competitive pressure. Spend: $783.62."
KEYWORD_POSITION_LOSS,CA-D08,23619183073,EX | 26 | CH | SEARCH | LEAD | Compeditor,193899557756,AG | RSA | Compeditor,Job24,keyword_top_impression_share,10.0,top-IS<20%,,Medium,"Top IS: 10.0%, Abs top IS: 10.0%. Losing page position. Spend: $783.62."
KEYWORD_IS_PRESSURE,CA-D08,20685916051,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,154386686829,STAN | HOME | BROAD,polymechaniker schweiz,keyword_is_with_rank_lost,15.7,IS<30% AND rank-lost>40%,,High,"Keyword IS: 15.7%, Rank-lost: 69.3%. Under heavy competitive pressure. Spend: $772.81."
KEYWORD_POSITION_LOSS,CA-D08,20685916051,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,154386686829,STAN | HOME | BROAD,polymechaniker schweiz,keyword_top_impression_share,11.6,top-IS<20%,,Medium,"Top IS: 11.6%, Abs top IS: 10.0%. Losing page position. Spend: $772.81."
KEYWORD_IS_PRESSURE,CA-D08,23473608146,EX | 26 | CH | SEARCH | LEAD | Grundbauer,200330564308,AG | RSA | Grundbauer,spezialtiefbau stellen,keyword_is_with_rank_lost,12.6,IS<30% AND rank-lost>40%,,High,"Keyword IS: 12.6%, Rank-lost: 59.4%. Under heavy competitive pressure. Spend: $639.95."
KEYWORD_POSITION_LOSS,CA-D08,23473608146,EX | 26 | CH | SEARCH | LEAD | Grundbauer,200330564308,AG | RSA | Grundbauer,spezialtiefbau stellen,keyword_top_impression_share,10.0,top-IS<20%,,Medium,"Top IS: 10.0%, Abs top IS: 10.0%. Losing page position. Spend: $639.95."
KEYWORD_IS_PRESSURE,CA-D08,20691357994,EX | 25 | CH | SEARCH | LEAD | Schweisser,155384660552,AG | RSA | Schweisser,schweißer arbeit,keyword_is_with_rank_lost,14.7,IS<30% AND rank-lost>40%,,High,"Keyword IS: 14.7%, Rank-lost: 62.3%. Under heavy competitive pressure. Spend: $624.35."
KEYWORD_POSITION_LOSS,CA-D08,20691357994,EX | 25 | CH | SEARCH | LEAD | Schweisser,155384660552,AG | RSA | Schweisser,schweißer arbeit,keyword_top_impression_share,11.3,top-IS<20%,,Medium,"Top IS: 11.3%, Abs top IS: 10.0%. Losing page position. Spend: $624.35."
KEYWORD_IS_PRESSURE,CA-D08,15347327648,EX | 25 | CH | SEARCH | LEAD | Metallbauer,193279372073,AG | RSA | Metallbauer,jobplattformen,keyword_is_with_rank_lost,14.3,IS<30% AND rank-lost>40%,,High,"Keyword IS: 14.3%, Rank-lost: 60.0%. Under heavy competitive pressure. Spend: $571.27."
KEYWORD_POSITION_LOSS,CA-D08,15347327648,EX | 25 | CH | SEARCH | LEAD | Metallbauer,193279372073,AG | RSA | Metallbauer,jobplattformen,keyword_top_impression_share,10.7,top-IS<20%,,Medium,"Top IS: 10.7%, Abs top IS: 10.0%. Losing page position. Spend: $571.27."
KEYWORD_IS_PRESSURE,CA-D08,15210620323,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,190557736766,AG | RSA | Sanitärinstallateur,sanitär jobangebote,keyword_is_with_rank_lost,18.9,IS<30% AND rank-lost>40%,,High,"Keyword IS: 18.9%, Rank-lost: 52.9%. Under heavy competitive pressure. Spend: $506.99."
KEYWORD_POSITION_LOSS,CA-D08,15210620323,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,190557736766,AG | RSA | Sanitärinstallateur,sanitär jobangebote,keyword_top_impression_share,15.2,top-IS<20%,,Medium,"Top IS: 15.2%, Abs top IS: 10.0%. Losing page position. Spend: $506.99."
KEYWORD_IS_PRESSURE,CA-D08,23478250789,EX | 26 | CH | SEARCH | LEAD | Maurer,189117549302,AG | RSA | Maurer,stellenangebote maurer,keyword_is_with_rank_lost,10.1,IS<30% AND rank-lost>40%,,High,"Keyword IS: 10.1%, Rank-lost: 46.8%. Under heavy competitive pressure. Spend: $490.35."
KEYWORD_POSITION_LOSS,CA-D08,23478250789,EX | 26 | CH | SEARCH | LEAD | Maurer,189117549302,AG | RSA | Maurer,stellenangebote maurer,keyword_top_impression_share,10.0,top-IS<20%,,Medium,"Top IS: 10.0%, Abs top IS: 10.0%. Losing page position. Spend: $490.35."
