last_change_date_time,resource_type,resource_status,resource,campaign,ad_group
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/58540664139~493571879758,customers/1487707588/campaigns/1512480885,customers/1487707588/adGroups/58540664139
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/129652215576~452518374212,customers/1487707588/campaigns/15145890855,customers/1487707588/adGroups/129652215576
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/128984364213~330661244563,customers/1487707588/campaigns/15158200274,customers/1487707588/adGroups/128984364213
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/128984364213~392111149367,customers/1487707588/campaigns/15158200274,customers/1487707588/adGroups/128984364213
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/129652481956~1460015146786,customers/1487707588/campaigns/15210620317,customers/1487707588/adGroups/129652481956
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/129652481956~1463565412501,customers/1487707588/campaigns/15210620317,customers/1487707588/adGroups/129652481956
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/129652481956~2200950235592,customers/1487707588/campaigns/15210620317,customers/1487707588/adGroups/129652481956
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/129652485276~2008376118848,customers/1487707588/campaigns/15210620329,customers/1487707588/adGroups/129652485276
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/129652485276~337787355732,customers/1487707588/campaigns/15210620329,customers/1487707588/adGroups/129652485276
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/129652485276~609654326341,customers/1487707588/campaigns/15210620329,customers/1487707588/adGroups/129652485276
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/57729575745~490969734363,customers/1487707588/campaigns/1523067835,customers/1487707588/adGroups/57729575745
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/57729575745~511303891394,customers/1487707588/campaigns/1523067835,customers/1487707588/adGroups/57729575745
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/65129113384~503357527664,customers/1487707588/campaigns/1523314312,customers/1487707588/adGroups/65129113384
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/57774070785~308695224947,customers/1487707588/campaigns/1524061154,customers/1487707588/adGroups/57774070785
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/57774070785~398452718527,customers/1487707588/campaigns/1524061154,customers/1487707588/adGroups/57774070785
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/57774070785~489808283662,customers/1487707588/campaigns/1524061154,customers/1487707588/adGroups/57774070785
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/57774070785~490510740209,customers/1487707588/campaigns/1524061154,customers/1487707588/adGroups/57774070785
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/58351410876~308695224947,customers/1487707588/campaigns/1524912136,customers/1487707588/adGroups/58351410876
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/58351410876~398452718527,customers/1487707588/campaigns/1524912136,customers/1487707588/adGroups/58351410876
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/58351410876~489808283662,customers/1487707588/campaigns/1524912136,customers/1487707588/adGroups/58351410876
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/58351410876~490510740209,customers/1487707588/campaigns/1524912136,customers/1487707588/adGroups/58351410876
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/57797823025~490055166126,customers/1487707588/campaigns/1525671247,customers/1487707588/adGroups/57797823025
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/58685442656~490969734363,customers/1487707588/campaigns/1527533704,customers/1487707588/adGroups/58685442656
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/58685442656~511303891394,customers/1487707588/campaigns/1527533704,customers/1487707588/adGroups/58685442656
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/61309525674~490517992065,customers/1487707588/campaigns/1527604483,customers/1487707588/adGroups/61309525674
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/57999618643~493571871118,customers/1487707588/campaigns/1528200156,customers/1487707588/adGroups/57999618643
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/57999618643~493571879758,customers/1487707588/campaigns/1528200156,customers/1487707588/adGroups/57999618643
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/58417564036~490517992065,customers/1487707588/campaigns/1528237359,customers/1487707588/adGroups/58417564036
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/58893548379~525803375724,customers/1487707588/campaigns/1533538750,customers/1487707588/adGroups/58893548379
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/57991790789~485614080859,customers/1487707588/campaigns/1533705109,customers/1487707588/adGroups/57991790789
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/57991790789~495394150302,customers/1487707588/campaigns/1533705109,customers/1487707588/adGroups/57991790789
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/57991790789~495394151022,customers/1487707588/campaigns/1533705109,customers/1487707588/adGroups/57991790789
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/57020525405~494865420947,customers/1487707588/campaigns/1533852867,customers/1487707588/adGroups/57020525405
