keyword_text,match_type,campaign_name,ad_group_name,campaign_id,ad_group_id,criterion_id,status,approval_status,impressions,clicks,cost,blended_conversions,primary_conversions,effective_conversions,effective_conv_value,primary_cpa,effective_cpa,effective_roas,ctr,spend_share,conversion_share,quality_score,expected_ctr,ad_relevance,landing_page_exp,tier,prior_tier,tier_shifted,is_hero_spender,bidding_mode,campaign_target_cpa,campaign_target_roas,target_source,portfolio_name,break_even_cpa,break_even_roas,primary_kpi,is_core_term,patience_multiplier,pause_spend_threshold,efficiency_severity_tier,efficiency_severity_label,efficiency_severity_ratio,efficiency_impact,excess_spend,missing_conversion_value
rocker hoodies,BROAD,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,374506182157,ENABLED,APPROVED,5635,542,714.86,12.07,12.07,12.07,1726.50,59.21,59.21,2.42,9.62,18.91,23.31,,,,,OVER_TARGET,OVER_TARGET,STABLE,false,SMART,73.00,5.19,campaign_inline,,,1.90,roas,true,1.5,300.00,2,material,2.15,1984.69,,1984.69
goth rock clothes,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,384506467884,ENABLED,APPROVED,3108,306,372.48,4.00,4.00,4.00,572.00,93.12,93.12,1.54,9.85,9.85,7.72,5,AVERAGE,ABOVE_AVERAGE,BELOW_AVERAGE,UNPROFITABLE,UNPROFITABLE,STABLE,false,SMART,73.00,5.19,campaign_inline,,,1.90,roas,true,1.5,300.00,1,watch,1.24,135.71,,135.71
tattoo streetwear,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,385780684017,ENABLED,APPROVED,1091,119,137.79,3.25,3.25,3.25,464.75,42.40,42.40,3.37,10.91,3.64,6.28,,,,,OVER_TARGET,ACTIVE,DEGRADED,false,SMART,73.00,5.19,campaign_inline,,,1.90,roas,true,1.5,300.00,2,material,1.54,250.59,,250.59
goth rock fashion,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,482109167247,ENABLED,APPROVED,293,15,13.83,0.00,0.00,0.00,0.00,,,0.00,5.12,0.37,0.00,,,,,INSUFFICIENT_DATA,INSUFFICIENT_DATA,STABLE,false,SMART,73.00,5.19,campaign_inline,,,1.90,roas,true,1.5,300.00,,,,,,
sinner hoodie,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,583142500232,ENABLED,APPROVED,0,0,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,7,ABOVE_AVERAGE,ABOVE_AVERAGE,BELOW_AVERAGE,ZOMBIE,ZOMBIE,STABLE,false,SMART,73.00,5.19,campaign_inline,,,1.90,roas,true,1.5,300.00,,,,,,
punk and rock outfit,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,1388887699660,ENABLED,APPROVED,591,64,78.61,1.00,1.00,1.00,143.00,78.61,78.61,1.82,10.83,2.08,1.93,,,,,UNPROFITABLE,INSUFFICIENT_DATA,DEGRADED,false,SMART,73.00,5.19,campaign_inline,,,1.90,roas,true,1.5,300.00,1,watch,1.04,6.36,,6.36
stay cold apparel,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,363100617039,ENABLED,APPROVED,4420,2329,242.37,236.50,158.11,158.11,22609.40,1.53,1.53,93.28,52.69,55.95,55.04,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,HERO,HERO,STABLE,false,MANUAL,1.51,94.83,fallback,,,1.90,roas,true,1.5,300.00,,,,,,
stay cold,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,406148670404,ENABLED,APPROVED,3402,1606,154.93,178.12,120.34,120.34,17208.58,1.29,1.29,111.07,47.21,35.76,41.89,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,HERO,HERO,STABLE,false,MANUAL,1.51,94.83,fallback,,,1.90,roas,false,1.0,200.00,,,,,,
stay cold hoodie,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,1570245148050,ENABLED,APPROVED,24,8,6.05,1.00,1.00,1.00,143.00,6.05,6.05,23.64,33.33,1.40,0.35,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,OVER_TARGET,OVER_TARGET,STABLE,false,MANUAL,1.51,94.83,fallback,,,1.90,roas,true,1.5,300.00,3,severe,4.01,430.70,,430.70
stay cold clothing,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,1748911514357,ENABLED,APPROVED,284,110,29.48,11.39,7.82,7.82,1118.46,3.77,3.77,37.94,38.73,6.81,2.72,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,OVER_TARGET,OVER_TARGET,STABLE,false,MANUAL,1.51,94.83,fallback,,,1.90,roas,true,1.5,300.00,2,material,2.50,1677.00,,1677.00
stay cold shirt,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,1932555128350,ENABLED,APPROVED,17,3,0.38,0.00,0.00,0.00,0.00,,,0.00,17.65,0.09,0.00,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,STABLE,false,MANUAL,1.51,94.83,fallback,,,1.90,roas,true,1.5,300.00,,,,,,
stay cold,BROAD,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,20520282363,152816606829,298883683859,ENABLED,APPROVED,856,356,57.72,53.02,30.02,30.02,4293.32,1.92,1.92,74.38,41.59,8.64,29.14,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,ACTIVE,ACTIVE,STABLE,false,MANUAL,6.48,22.06,fallback,,,1.90,roas,false,1.0,200.00,,,,,,
stay cold apparel,BROAD,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,20520282363,152816606829,298883683899,ENABLED,APPROVED,1726,747,82.40,49.78,31.24,31.24,4467.51,2.64,2.64,54.22,43.28,12.34,30.32,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,HERO,HERO,STABLE,false,MANUAL,6.48,22.06,fallback,,,1.90,roas,true,1.5,300.00,,,,,,
stay cold clothing,BROAD,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,20520282363,152816606829,298951286375,ENABLED,APPROVED,2374,563,439.94,55.29,36.28,36.28,5188.36,12.13,12.13,11.79,23.72,65.87,35.21,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,HERO,HERO,STABLE,false,MANUAL,6.48,22.06,fallback,,,1.90,roas,true,1.5,300.00,,,,,,
stay cold shirt,BROAD,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,20520282363,152816606829,1933959631418,ENABLED,APPROVED,457,106,87.84,8.00,5.50,5.50,786.50,15.97,15.97,8.95,23.19,13.15,5.34,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,OVER_TARGET,OVER_TARGET,STABLE,false,MANUAL,6.48,22.06,fallback,,,1.90,roas,true,1.5,300.00,2,material,2.46,1151.49,,1151.49
stay cold,BROAD,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),20520677694,154062129540,298883683859,ENABLED,APPROVED,6406,2679,245.81,308.26,227.45,227.45,32525.83,1.08,1.08,132.32,41.82,13.60,25.58,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,ACTIVE,ACTIVE,STABLE,false,SMART,2.03,100.00,campaign_inline,,,1.90,roas,false,1.0,200.00,,,,,,
stay cold apparel,BROAD,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),20520677694,154062129540,298883683899,ENABLED,APPROVED,18849,6681,1557.80,961.40,661.37,661.37,94575.95,2.36,2.36,60.71,35.44,86.20,74.37,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,HERO,HERO,STABLE,false,SMART,2.03,100.00,campaign_inline,,,1.90,roas,true,1.5,300.00,,,,,,
stay cold clothing,BROAD,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),20520677694,154062129540,298951286375,ENABLED,APPROVED,5,1,0.22,0.50,0.50,0.50,71.50,0.44,0.44,325.00,20.00,0.01,0.06,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,ACTIVE,ACTIVE,STABLE,false,SMART,2.03,100.00,campaign_inline,,,1.90,roas,true,1.5,300.00,,,,,,
stay cold hoodie,BROAD,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),20520677694,154062129540,424973975695,ENABLED,APPROVED,50,11,2.34,0.00,0.00,0.00,0.00,,,0.00,22.00,0.13,0.00,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,STABLE,false,SMART,2.03,100.00,campaign_inline,,,1.90,roas,true,1.5,300.00,,,,,,
stay cold shirt,BROAD,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),20520677694,154062129540,1933959631418,ENABLED,APPROVED,30,5,1.02,0.00,0.00,0.00,0.00,,,0.00,16.67,0.06,0.00,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,STABLE,false,SMART,2.03,100.00,campaign_inline,,,1.90,roas,true,1.5,300.00,,,,,,
staycold,BROAD,EX | USA | SEARCH | BRAND,USA | STAN | BRAND,20520258918,158916156691,297075659445,ENABLED,APPROVED,1042,342,92.20,44.82,30.24,30.24,4323.97,3.05,3.05,46.90,32.82,11.34,10.16,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,ACTIVE,OVER_TARGET,IMPROVED,false,SMART,2.73,42.64,campaign_inline,,,1.90,roas,false,1.0,200.00,,,,,,
stay cold apparel,PHRASE,EX | USA | SEARCH | BRAND,USA | STAN | BRAND,20520258918,158916156691,363740484229,ENABLED,APPROVED,7825,3063,650.52,386.49,238.60,238.60,34119.86,2.73,2.73,52.45,39.14,79.98,80.21,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,HERO,HERO,STABLE,false,SMART,2.73,42.64,campaign_inline,,,1.90,roas,true,1.5,300.00,,,,,,
stay cold clothing,PHRASE,EX | USA | SEARCH | BRAND,USA | STAN | BRAND,20520258918,158916156691,399727002840,ENABLED,APPROVED,151,63,3.87,4.56,2.56,2.56,366.43,1.51,1.51,94.68,41.72,0.48,0.86,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,ACTIVE,ACTIVE,STABLE,false,SMART,2.73,42.64,campaign_inline,,,1.90,roas,true,1.5,300.00,,,,,,
stay cold hoodie,EXACT,EX | USA | SEARCH | BRAND,USA | STAN | BRAND,20520258918,158916156691,1570245148050,ENABLED,APPROVED,146,17,10.92,0.50,0.50,0.50,71.50,21.84,21.84,6.55,11.64,1.34,0.17,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,OVER_TARGET,INSUFFICIENT_DATA,IMPROVED,false,SMART,2.73,42.64,campaign_inline,,,1.90,roas,true,1.5,300.00,3,severe,6.51,394.11,,394.11
stay cold shirt,EXACT,EX | USA | SEARCH | BRAND,USA | STAN | BRAND,20520258918,158916156691,1932555128350,ENABLED,APPROVED,16,4,0.86,0.00,0.00,0.00,0.00,,,0.00,25.00,0.11,0.00,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,STABLE,false,SMART,2.73,42.64,campaign_inline,,,1.90,roas,true,1.5,300.00,,,,,,
stay cold shop,PHRASE,EX | USA | SEARCH | BRAND,USA | STAN | BRAND,20520258918,158916156691,2413710490050,ENABLED,APPROVED,950,293,55.02,37.04,25.57,25.57,3657.11,2.15,2.15,66.47,30.84,6.76,8.60,,,,,ACTIVE,ACTIVE,STABLE,false,SMART,2.73,42.64,campaign_inline,,,1.90,roas,false,1.0,200.00,,,,,,
