keyword_text,match_type,campaign_name,ad_group_name,campaign_id,ad_group_id,criterion_id,final_urls,impressions,clicks,cost,avg_cpc,conversions,conversions_value,quality_score,ad_relevance,expected_ctr,landing_page_exp,tier,class,dominant_limiting_component,below_avg_components,is_high_spend,priority_score,search_is,lost_is_rank,search_top_is,bidding_strategy_type,bidding_mode,target_source,portfolio_name
tattoo streetwear,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,385780684017,,1808,178,212.42,1.19,5.75,827.02,,NULL,NULL,NULL,QS_NULL,GENERIC,NONE,,false,0,9.99,67.87,9.99,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
stay cold clothing,PHRASE,EX | USA | SEARCH | BRAND,USA | STAN | BRAND,20520258918,158916156691,399727002840,,492,239,38.73,0.16,28.56,5342.37,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,85.38,14.62,82.05,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
stay cold,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,406148670404,,10002,4646,594.93,0.13,494.61,61691.10,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,QS_OK,BRANDED,NONE,,false,0,96.39,3.61,93.21,TARGET_IMPRESSION_SHARE,MANUAL,none,
stay cold hoodie,BROAD,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),20520677694,154062129540,424973975695,,150,42,9.39,0.22,5.00,401.22,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,93.39,6.61,91.74,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
goth rock fashion,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,482109167247,,563,32,28.95,0.90,0.50,59.95,,NULL,NULL,NULL,QS_NULL,GENERIC,NONE,,false,0,9.99,81.31,9.99,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
sinner hoodie,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,583142500232,,0,0,0.00,,0.00,0.00,7,ABOVE_AVG,ABOVE_AVG,BELOW_AVG,UNSTABLE_QS,GENERIC,LP,LP,false,0,,,,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
punk and rock outfit,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,1388887699660,,1026,98,106.46,1.09,1.00,111.75,,NULL,NULL,NULL,QS_NULL,GENERIC,NONE,,false,0,9.99,68.71,9.99,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
stay cold hoodie,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,1570245148050,,52,22,14.70,0.67,2.00,540.00,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,88.10,11.90,83.33,TARGET_IMPRESSION_SHARE,MANUAL,none,
stay cold hoodie,EXACT,EX | USA | SEARCH | BRAND,USA | STAN | BRAND,20520258918,158916156691,1570245148050,,398,77,45.53,0.59,2.75,444.86,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,60.53,39.47,51.47,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
stay cold clothing,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,1748911514357,,841,352,107.09,0.30,40.22,5657.80,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,92.34,7.66,89.00,TARGET_IMPRESSION_SHARE,MANUAL,none,
stay cold shirt,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,1932555128350,,36,10,7.35,0.73,1.00,60.80,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,78.95,21.05,65.79,TARGET_IMPRESSION_SHARE,MANUAL,none,
stay cold shirt,EXACT,EX | USA | SEARCH | BRAND,USA | STAN | BRAND,20520258918,158916156691,1932555128350,,38,10,3.39,0.34,0.00,0.00,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,58.97,41.03,56.41,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
stay cold shirt,BROAD,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,20520282363,152816606829,1933959631418,,1829,413,336.57,0.81,33.84,5565.59,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,QS_OK,BRANDED,NONE,,false,0,87.17,12.83,80.39,TARGET_IMPRESSION_SHARE,MANUAL,none,
stay cold shirt,BROAD,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),20520677694,154062129540,1933959631418,,68,15,5.12,0.34,2.00,111.60,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,94.44,5.56,92.59,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
stay cold shop,PHRASE,EX | USA | SEARCH | BRAND,USA | STAN | BRAND,20520258918,158916156691,2413710490050,,2835,925,191.20,0.21,108.04,19164.22,,NULL,NULL,NULL,QS_NULL,BRANDED,NONE,,false,0,70.42,29.58,66.05,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
