campaign_id,campaign_name,ad_group_id,ad_group_name,has_kw_level_bindings,kw_level_keyword_count,kw_level_attributes,has_ag_level_bindings,ag_level_attributes,rsa_references_customizers,referenced_attribute_names,missing_attribute_names,static_attribute_names,effective_resolution,integrity_status,headline_test_mode
15347327648,EX | 25 | CH | SEARCH | LEAD | Metallbauer,193279372073,AG | RSA | Metallbauer,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23468568174,EX | 26 | CH | SEARCH | LEAD | Kranführer,193352510633,AG | RSA | Kranführer,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
6503042592,EX | 26 | CH | SEARCH | LEAD | Maler,193358511562,AG | RSA | Maler,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
15210620317,EX | 25 | CH | SEARCH | LEAD | Automatiker,193394861642,AG | RSA | Automatiker,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23478262294,EX | 26 | CH | SEARCH | LEAD | Strassenbauer,193437338762,AG | RSA | Strassenbauer,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23619183073,EX | 26 | CH | SEARCH | LEAD | Compeditor,193899557756,AG | RSA | Compeditor,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23473611323,EX | 25 | CH | SEARCH | LEAD | Heizungsinstallateur,194378322893,AG | RSA | Heizungsinstallateur KW Testing,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23468556621,EX | 25 | CH | SEARCH | LEAD | Gipser,194724430511,AG | RSA | Gipser,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23478160315,EX | 26 | CH | SEARCH | LEAD | Metallbaukonstrukteur,194846353335,AG | RSA | Metallbaukonstukteur KW Testing,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23473587776,EX | 26 | CH | SEARCH | LEAD | Bauarbeiter,194925305514,AG | RSA | Bauarbeiter,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23473611323,EX | 25 | CH | SEARCH | LEAD | Heizungsinstallateur,194933381034,AG | RSA | Heizungsinstallateur,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
15145890855,EX | 25 | CH | SEARCH | LEAD | Montage-Elektriker,195559356887,AG | RSA | Montage-Elektriker,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23478231493,EX | 25 | CH | SEARCH | LEAD | Gerüstbauer,195707765470,AG | RSA | Gerüstbauer,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23468547546,EX | 25 | CH | SEARCH | LEAD | Gärtner,197528102051,AG | RSA | Gärtner,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23478160315,EX | 26 | CH | SEARCH | LEAD | Metallbaukonstrukteur,198596624624,AG | RSA | Metallbaukonstukteur,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23473608146,EX | 26 | CH | SEARCH | LEAD | Grundbauer,200330564308,AG | RSA | Grundbauer,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
