placement,display_name,placement_type,campaign_name,campaign_channel_type,impressions,cost
"UCulXXKKrC3LjQpxGNPNMFPA","Flats","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",268,1.77
"UCHXXj0KkMdqW8SDOSoftesg","GroovyGavin","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",263,1.76
"UCiER8p540j2SosO7OX7E0VA","Legends of Avantris","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",293,1.76
"UC2IYWWifoIht9T47z1Z5lJw","Dead Meat","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",259,1.76
"UCSUf5_EPEfl4zlBKZHkZdmw","Danny Gonzalez","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",278,1.73
"UCVp3nfGRxmMadNDuVbJSk8A","Wiz Khalifa","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",249,1.72
"UCGBpxWJr9FNOcFYA5GkKrMg","Boiler Room","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",228,1.72
"UCGgOzqE4t_fTomjsErm8xNw","Männerstil Akademie","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",250,1.71
"UCq6VFHwMzcMXbuKyG7SQYIg","penguinz0","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",296,1.71
"UCzZOF5BnSi3MSM5AvBQ3vnw","Gym Raiders","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",254,1.71
"UCwUNbp_4Y2Ry-asyerw2jew","StarTvGreece","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",287,1.71
"UCENdrrK5sWM-RV5nTLwBNXw","The Howard Stern Show","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",266,1.7
"UC9N0DmacOi4iWKQyygX89OQ","FightinCowboy","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",264,1.67
"UCzmd_z3BAaFmztmPgD5-n2g","Bud Wooley","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",278,1.67
"UCr45VhwCBYwMfdN-gz7W_OA","Insomniac","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",217,1.65
"UCCIWI55Xwn91jxDJwyCTsfA","PixelDrink","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",258,1.64
"UC8pOnl4XYXcKfZ_aWBO0o_A","JiDionPremium ","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",241,1.64
"UCB2wtYpfbCpYDc5TeTwuqFA","Will Tennyson","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",232,1.63
"UCmm6-VuugeKmgHmuneX1FGw","the detail.","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",267,1.62
"UCz8K1occVvDTYDfFo7N5EZw","Law&Crime Network","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",229,1.62
"UCZBY6V8Lxmwu8gGRBOyO11w","Kubz Scouts","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",294,1.62
"UCuwdplPbuTFZj_64d03tSBA","Young Thug","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",234,1.62
"UCiCUz1bHid4H9mu6g2IOjXg","The Media Knights","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",207,1.61
"UCrlI-2z6VG1g3U9wFLgj0cQ","Fitnes Raiders","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",218,1.61
"UC_eQfAQjj6mYj92l3SBmIdg","Harlem Fetty","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",230,1.61
"UCa6vGFO9ty8v5KZJXQxdhaw","Jimmy Kimmel Live","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",335,1.59
"UCUs8sGiP4avNaYNVO22INhQ","mgk","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",253,1.59
"UC7qZ_e097NBkgOljy1joVRA","The Daily Beast","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",273,1.58
"UCqwxMqUcL-XC3D9-fTP93Mg","LIL UZI VERT","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",259,1.58
"UC0sEIyXXalzD1lbwm3D2xpA","RuPaul's Drag Race","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",242,1.58
"UCu7TZ_ATWgjgD9IrNLdnYDA","Little Big","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",244,1.57
"UCbaGn5VkOVlcRgIWAHcrJKA","Cut","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",229,1.57
"UC5RrGzC-JXglhFW5NhT4r6w","2Pac - Topic","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",261,1.57
"UCWALT-gk346FOc5DtUC4ZdQ","","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",216,1.57
"UCwc_RHwAPPaEh-jtwClpVrg","Charlotte Dobre","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",232,1.57
"UCpmvp5czsIrQHsbqya4-6Jw","Chad Chad","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",242,1.54
"UCB_Z6rBg3WW3NL4-QimhC2A","The Rolling Stones","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",218,1.53
"UCXDb7USogA0cr9nFsHcqtjw","jenn","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",242,1.53
"UCDUNe-NZaknJOGyulc4Ohvg","The Ed Sullivan Show","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",231,1.53
"UC1cyGje-DRza7ei9M_oYHNA","Grey Wiese","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",246,1.52
"UC2wOn-kGm3VDX_px3N2Wlaw","Alex Hefner's TV & Movie Vault","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",209,1.51
"UC5sGdW8Jf7ijogDhcIFRmlw","Kalogeras Sisters ","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",216,1.51
"UCOo_v3eVbfET7_zi2KLOP9g","Binge Society","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",192,1.5
