keyword_text,match_type,campaign_name,ad_group_name,campaign_id,ad_group_id,criterion_id,flag_type,flag_severity,flag_detail,impressions,clicks,cost,primary_conversions,primary_cpa,effective_conversions,effective_cpa,effective_roas,break_even_cpa,break_even_roas,primary_kpi,is_core_term,quality_score,campaign_bidding_strategy_type,campaign_target_cpa,campaign_target_roas,efficiency_severity_tier,efficiency_severity_label,efficiency_severity_ratio,efficiency_impact,excess_spend,missing_conversion_value
stellenangebote tiefbaufacharbeiter,BROAD,EX | 26 | CH | SEARCH | LEAD | Grundbauer,AG | RSA | Grundbauer,23473608146,200330564308,343355616713,OVER_TARGET,Medium,"Primary CPA $67.31 > tCPA $50.75, but under break-even $75.00. Tier 1 watch target overage, excess spend $24.85. Review bids / target CPA segmentation — do not pause.",575,59,100.97,1.50,67.31,1.50,67.31,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,50.75,0.00,1,watch,1.33,24.85,24.85,
arbeit maler,BROAD,EX | 26 | CH | SEARCH | LEAD | Maler,AG | RSA | Maler,6503042592,193358511562,297337521976,TIER_DEGRADED,Medium,arbeit maler shifted from INSUFFICIENT_DATA to UNPROFITABLE,600,59,94.08,1.00,94.08,1.00,94.08,0.00,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,73.47,0.00,1,watch,1.25,19.08,19.08,
gipser stelle,BROAD,EX | 25 | CH | SEARCH | LEAD | Gipser,AG | RSA | Gipser,23468556621,194724430511,360873460690,TIER_DEGRADED,Medium,gipser stelle shifted from LOW_PERFORMER to UNPROFITABLE,358,40,58.03,0.53,108.87,0.53,108.87,0.00,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,81.44,0.00,1,watch,1.45,18.05,18.05,
stelle als automatiker,BROAD,EX | 25 | CH | SEARCH | LEAD | Automatiker,AG | RSA | Automatiker,15210620317,193394861642,376757387003,OVER_TARGET,Medium,"Primary CPA $64.44 > tCPA $53.24, but under break-even $75.00. Tier 1 watch target overage, excess spend $11.20. Review bids / target CPA segmentation — do not pause.",463,34,64.44,1.00,64.44,1.00,64.44,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,53.24,0.00,1,watch,1.21,11.20,11.20,
Manpower jobs,BROAD,EX | 26 | CH | SEARCH | LEAD | Compeditor,AG | RSA | Compeditor,23619183073,193899557756,1373422821,OVER_TARGET,Medium,"Primary CPA $46.68 > tCPA $34.16, but under break-even $75.00. Tier 1 watch target overage, excess spend $6.26. Review bids / target CPA segmentation — do not pause.",260,12,23.34,0.50,46.68,0.50,46.68,0.00,75.00,,cpa,true,3,MAXIMIZE_CONVERSIONS,34.16,0.00,1,watch,1.37,6.26,6.26,
Manpower jobs,BROAD,EX | 26 | CH | SEARCH | LEAD | Compeditor,AG | RSA | Compeditor,23619183073,193899557756,1373422821,TIER_DEGRADED,Medium,Manpower jobs shifted from ACTIVE to OVER_TARGET,260,12,23.34,0.50,46.68,0.50,46.68,0.00,75.00,,cpa,true,3,MAXIMIZE_CONVERSIONS,34.16,0.00,1,watch,1.37,6.26,6.26,
schreiner jobs zürich,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,314589657304,OVER_TARGET,Medium,"Primary CPA $15.74 > tCPA $11.00, but under break-even $75.00. Tier 1 watch target overage, excess spend $4.74. Review bids / target CPA segmentation — do not pause.",104,18,15.74,1.00,15.74,1.00,15.74,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,11.00,0.00,1,watch,1.43,4.74,4.74,
cnc mechaniker,PHRASE,EX | 25 | CH | SEARCH | LEAD | Polymechaniker,AG | RSA | Polymechaniker | KW Testing,20702215351,191651580382,312018691155,TIER_DEGRADED,Medium,cnc mechaniker shifted from INSUFFICIENT_DATA to UNPROFITABLE,34,2,2.03,0.03,77.34,0.03,77.34,0.00,75.00,,cpa,false,3,MAXIMIZE_CONVERSIONS,113.95,0.00,1,watch,1.03,0.06,0.06,
kollabo jobs,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970399984,OVER_TARGET,Medium,"Primary CPA $15.72 > tCPA $15.59, but under break-even $75.00. Tier 1 watch target overage, excess spend $0.03. Review bids / target CPA segmentation — do not pause.",20,10,3.93,0.25,15.72,0.25,15.72,0.00,75.00,,cpa,true,10,MAXIMIZE_CONVERSIONS,15.59,0.00,1,watch,1.01,0.03,0.03,
stellenangebote heizung sanitär,BROAD,EX | 25 | CH | SEARCH | LEAD | Heizungsinstallateur,AG | RSA | Heizungsinstallateur KW Testing,23473611323,194378322893,319237167586,TIER_DEGRADED,Medium,stellenangebote heizung sanitär shifted from HERO to INSUFFICIENT_DATA,438,53,82.24,0.00,,0.00,,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,106.35,0.00,,,,,,
schweisser job schweiz,BROAD,EX | 25 | CH | SEARCH | LEAD | Schweisser,AG | RSA | Schweisser,20691357994,155384660552,315747770348,TIER_DEGRADED,Medium,schweisser job schweiz shifted from HERO to INSUFFICIENT_DATA,484,45,50.84,0.00,,0.00,,0.00,75.00,,cpa,true,6,MAXIMIZE_CONVERSIONS,36.82,0.00,,,,,,
metallbauer stellenangebote,BROAD,EX | 25 | CH | SEARCH | LEAD | Metallbauer,AG | RSA | Metallbauer KW Testing,15347327648,191429218741,304628771918,TIER_DEGRADED,Medium,metallbauer stellenangebote shifted from HERO to INSUFFICIENT_DATA,223,28,44.63,0.00,,0.00,,0.00,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,79.90,0.00,,,,,,
zimmermann arbeit,BROAD,EX | 25 | CH | SEARCH | LEAD | Zimmermann,AG | RSA | Zimmermann,23468591016,191553934309,303575974490,TIER_DEGRADED,Medium,zimmermann arbeit shifted from HERO to INSUFFICIENT_DATA,328,33,43.08,0.00,,0.00,,0.00,75.00,,cpa,true,3,MAXIMIZE_CONVERSIONS,75.50,0.00,,,,,,
elektriker temporärbüro,BROAD,EX | 25 | CH | SEARCH | LEAD | Montage-Elektriker,AG | RSA | Montage-Elektriker,15145890855,195559356887,2007378306629,TIER_DEGRADED,Medium,elektriker temporärbüro shifted from HERO to INSUFFICIENT_DATA,224,19,41.12,0.00,,0.00,,0.00,75.00,,cpa,false,8,MAXIMIZE_CONVERSIONS,66.74,0.00,,,,,,
strassenbauer jobs,BROAD,EX | 26 | CH | SEARCH | LEAD | Strassenbauer,AG | RSA | Strassenbauer,23478262294,193437338762,298317241341,TIER_DEGRADED,Medium,strassenbauer jobs shifted from HERO to INSUFFICIENT_DATA,305,27,39.01,0.00,,0.00,,0.00,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,115.57,0.00,,,,,,
facharbeiter tiefbau,BROAD,EX | 26 | CH | SEARCH | LEAD | Grundbauer,AG | RSA | Grundbauer,23473608146,200330564308,388769533905,TIER_DEGRADED,Medium,facharbeiter tiefbau shifted from HERO to ACTIVE,345,23,36.65,2.00,18.32,2.00,18.32,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,50.75,0.00,,,,,,
gerüstbauer stellenangebot,PHRASE,EX | 25 | CH | SEARCH | LEAD | Gerüstbauer,AG | RSA | Gerüstbauer,23478231493,195707765470,358091324134,TIER_DEGRADED,Medium,gerüstbauer stellenangebot shifted from HERO to INSUFFICIENT_DATA,101,13,26.26,0.00,,0.00,,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,,0.00,,,,,,
gerüstbauer jobs,PHRASE,EX | 25 | CH | SEARCH | LEAD | Gerüstbauer,AG | RSA | Gerüstbauer,23478231493,195707765470,307767267753,TIER_DEGRADED,Medium,gerüstbauer jobs shifted from HERO to INSUFFICIENT_DATA,50,8,18.77,0.00,,0.00,,0.00,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,,0.00,,,,,,
